ptx,pty,docIds,idShort,title,pubDate,category,terms1,stems,firms,keywordsFound
-1.173285708,-5.851882313,1647554851_1812031,2,Architecture_3-ultra-cool-architecture-projects-from-small-firms,8/21/2013,Architecture,archdaily;soaked,archdaili;soak,,
0.957580642,-4.898081046,1647554833_4850008,3,Architecture_3d-printed-concrete-mold,11/29/2018,Architecture,domino;sugar,domino;sugar,,
5.427373298,2.756537331,1647554820_8987777,4,Architecture_acoustic-engineering,2/22/2016,Architecture,halls;acoustics;concert;paul;‘intimacy;tim;dowels,hall;acoust;concert;paul;intimaci;tim;dowel,,
-7.534235987,2.934005446,1647554830_7785952,5,Architecture_advertising-model,4/2/2018,Architecture,subscription;advertising;facebook;google;signed;tells,subscript;advertis;facebook;googl;know;pizza,,bim;social
5.330388382,2.850144083,1647554861_5340624,6,Architecture_affordable-housing-development,3/13/2017,Architecture,neighborhood;loss;hunts;peninsula;bronx;bakeries,neighborhood;offer;hunt;peninsula;bronx;bakeri,body lawson associates;dattner architects,social;solar
-6.595218333,-1.304651824,1647554846_471991,7,Architecture_ai-in-architecture,4/22/2021,Architecture,development;noise;real-estate;spacemaker;conxtech;viability;unsuccessful;agents;ahmes,develop;nois;real-est;spacemak;conxtech;viabil;unsuccess;agent;ahm,,wind;environmental
11.74510478,4.734071409,1647554828_319441,8,Architecture_airport-designs,5/16/2017,Architecture,modern;angeles;international;hong;kong;laguardia;largest;airlines;tim;firm;terminal;concourse;midfield;hkia;aecom;cuomo,modern;intern;airport;hong;kong;laguardia;largest;airlin;sullivan;gensler;termin;concours;midfield;hkia;aecom;cuomo,gensler;corgan;aecom,bim;solar
8.778592755,1.954322293,1647554831_963482,9,Architecture_airport-planning,8/9/2018,Architecture,gate;resolved;terminal;baggage;sfo;nine;spencer;glare,gate;resolv;termin;baggag;sfo;nine;spencer;glare,hks,bim;environmental;solar;wind
4.670352454,1.51280552,1647554833_0729053,10,Architecture_architect-zaha-hadid,12/8/2021,Architecture,incredibly;hadid’s;defy;zaha;dame;british;commissions;bernstein;aquatics;centre;cincinnati;zha;stern,incred;hadid;defi;zaha;dame;british;commiss;bernstein;aquat;centr;cincinnati;zha;stern,,
-7.378988849,3.60461078,1647554838_5874724,11,Architecture_architectural-preservation,11/14/2019,Architecture,analyzes;loire;surveys;monument;drac,analyz;loir;survey;monument;drac,,
-10.45580298,6.853905476,1647554863_7372763,12,Architecture_architectural-upcycling,8/1/2017,Architecture,cardboard;decorated;architectural;fireproof;feedstock;miller;oven,cardboard;decor;upcycl;fireproof;feedstock;miller;oven,,recycling
-8.010681157,-11.36481473,1647554874_8863716,13,Architecture_architectural-visualization,2/25/2020,Architecture,visual;got;appeared;rough;tokyo;max;render;kyoto;fleshed,visual;angl;appear;rough;tokyo;render;pars;kyoto;flesh,,environmental
-10.37675745,1.243280614,1647554842_2121592,14,Architecture_architecture-2020,6/30/2020,Architecture,europe;officer;woods;staff;buro;migration;happold;mcgilly;walk-throughs;large,europ;offic;bagot;staff;buro;migrat;happold;mcgilli;walk-through;movabl,,social;bim
-2.98243185,4.39309825,1647554854_9350321,15,Architecture_architecture-2030,9/3/2015,Architecture,renewed;2030;designing;2050;imperative;declaration,renew;2030;high-perform;2050;imper;declar,,environmental;renewable energy;wind
-5.246636738,-7.839932885,1647554843_438191,16,Architecture_architecture-design-covid-19,8/20/2020,Architecture,officer;guidance;school;aia;michelle;aaron,offic;guidanc;school;aia;amt;aaron,,social
-6.824375848,4.272632667,1647554849_9467695,17,Architecture_architecture-trends,1/4/2022,Architecture,heightened,heighten,keo,greenhouse gas emissions;environmental;air quality
10.07784564,-0.945657323,1647554819_2268336,18,Architecture_architecture-vs-engineering,9/7/2021,Architecture,architects;forward;collaboration;identities;necessarily;symbiotic;olsen;mac;vocabulary;differentiation;calm,architect;engin;collabor;ident;necessarili;symbiot;olsen;mac;vocabulari;differenti;calm,gensler,bim
3.487310668,9.405113224,1647554863_4091349,19,Architecture_arctic-architecture,7/17/2017,Architecture,winter;arctic;snowdrifts;scooping;piles;daniel,winter;arctic;snowdrift;scoop;stilt;nichol,stantec;think architecture,wind;solar;social
1.909445489,4.81909798,1647554837_1953108,20,Architecture_bamboo-construction,8/7/2019,Architecture,joint;verde;parametric;joined;pavilion;respond;joinery;bamboo;gomes;luum;mill;outside;tennessee;rectilinear;jungle;catenary;nodes,joint;verd;parametr;join;pavilion;irregular;joineri;bamboo;mexican;templ;mill;tropic;tennesse;rectilinear;jungl;catenari;node,,urban design
-5.268441027,-0.652442035,1647554812_4552107,21,Architecture_bending-wood,2/25/2021,Architecture,wood;certain;shape;thickness;dry;bent;moisture;southwest;icd;stuttgart;moist,wood;certain;shape;thick;dri;bent;moistur;southwest;icd;stuttgart;moist,,bim
-3.426469265,-8.244216262,1647554819_8206074,22,Architecture_big-data-in-retail-future-store-design,11/10/2015,Architecture,make;screen;department;stores;registered;retail;merchandise;beacons;shoppers;rfid;touch;count,count;screen;depart;store;regist;retail;merchandis;beacon;shopper;rfid;touch;brick-and-mortar,,social
-14.40807887,-7.088074835,1647554820_1174886,23,Architecture_big-data-survey-aec,12/14/2015,Architecture,big;cios;life-cycle,big;cio;life-cycl,,bim
-6.645203956,27.61485795,1647554832_1197417,24,Architecture_bim-building-information-modeling,3/9/2022,Architecture,wsp;evolution,clash;evolut,,bim
-9.148284224,-9.174507678,1647554871_07342,25,Architecture_bim-examples,3/23/2021,Architecture,article;leed;status;platinum,articl;gold;statu;platinum,hks,bim;environmental;solar;photovoltaics;air quality
-32.45547062,1.536343233,1647554834_9546156,26,Architecture_bim-expert,2/14/2019,Architecture,hudson;hiring;harvey;photogrammetry;purpose,hudson;hire;harvey;photogrammetri;purpos,,bim;solar
17.23774776,-18.69883769,1647554819_3830905,27,Architecture_bim-for-facilities-management,8/24/2015,Architecture,facility;guidelines—all;facilities-management;first;serial,facil;searchabl;facilities-manag;bidirect;serial,,bim
5.545953107,-2.541516075,1647812511_3494644,28,Architecture_bim-is-accelerating-digital-transformation,12/14/2021,Architecture,,,,bim
-4.254068572,-9.268151399,1647554836_289025,29,Architecture_bim-landscape-architecture,6/4/2019,Architecture,landscape;3d-modeling;blogs,landscap;3d-model;blog,lmn architects,bim
3.886057411,9.35324142,1647554859_0652177,30,Architecture_biomimicry-in-architecture,7/30/2021,Architecture,architecture;inspiring;naturally;deposits;biomimicry;co-opt;lesson;flora;fauna;biomimicry;spider;silks;biologist;princeton;knitting;cellular;grows;corey,architectur;inspir;natur;biolog;biomimicri;co-opt;lesson;flora;fauna;imit;spider;silk;biologist;princeton;knit;cellular;louder;freed,cannondesign;gensler,sustainable architecture;environmental
2.045222553,-5.453356429,1647554862_1591008,31,Architecture_biophilic-design,4/5/2017,Architecture,indoor;biophilic;mall;greenery;pantone,indoor;biophil;mall;greeneri;panton,,social;environmental
11.8657441,-4.946822736,1647554843_297558,32,Architecture_black-architects,8/18/2020,Architecture,principal;promote;achieving;representations;rank;equitable;recruiting;mentorship;nelson;black;marshall;cultivating;arizona;reason,princip;promot;leadership;represent;rank;equit;recruit;mentorship;nelson;black;marshal;cultiv;arizona;rap,aecom,
-12.2670645,-11.65310675,1647812940_2982686,33,Architecture_buckminster-fuller-works,1/22/2019,Architecture,buckminster;fuller,buckminst;fuller,,
32.23684672,-20.28477886,1647554850_7124183,34,Architecture_build-green-infographic,5/10/2013,Architecture,,,,sustainable architecture
-0.056799428,29.48106816,1647554862_6278605,35,Architecture_bulgari-factory,8/9/2017,Architecture,italy’s;valenza;caramora’s,itali;valenza;caramora,,
18.48732381,74.83525389,1647554831_6666007,36,Architecture_capturing-reality,6/26/2018,Architecture,,,,
3.839638962,15.96542962,1647554864_3531806,37,Architecture_chicago-river-edge-ideas-lab,10/5/2017,Architecture,along;tom;riverfront;river;ross;outer;trail;chicago;riverwalk;sasaki;barney;corridors;metropolitan;river;intertwined;daniel,along;tom;riverfront;river;ross;outer;trail;chicago;riverwalk;sasaki;barney;corridor;metropolitan;edg;intertwin;burnham,sasaki,
7.360693885,3.656593807,1647554860_1433926,38,Architecture_city-mayor-as-chief-architect,11/28/2016,Architecture,cities;great;orchestra;economic;zoning;angeles;miami;economic;must;require;attractive;diaz;speech;citywide;aha;crime;suburban;brightest,citi;great;orchestra;econom;zone;mayor;miami;growth;must;proper;attract;diaz;speech;citywid;aha;crime;suburban;brightest,,environmental;urban design;solar
